source,target,id,weight
Lawrence of Arabia,Claude Rains,278,1
Lawrence of Arabia,JosÌÎå© Ferrer,279,1
Lawrence of Arabia,Jack Hawkins,280,1
U2 3D,Catherine Owens,281,1
U2 3D,Bono,282,1
U2 3D,The Edge,283,1
U2 3D,Larry Mullen Jr.,284,1
Das Boot,Wolfgang Petersen,285,1
Das Boot,J�� rgen Prochnow,286,1
Das Boot,Martin Semmelrogge,287,1
Das Boot,Herbert GrÌÎå_nemeyer,288,1
Rang De Basanti,Rakeysh Omprakash Mehra,289,1
Rang De Basanti,Anupam Kher,290,1
Rang De Basanti,Steven Mackintosh,291,1
Rang De Basanti,Madhavan,292,1
Requiem for a Dream,Darren Aronofsky,293,1
Requiem for a Dream,Ellen Burstyn,294,1
Requiem for a Dream,Mark Margolis,295,1
Requiem for a Dream,Louise Lasser,296,1
Batman: The Dark Knight Returns, Part 2,297,1
Batman: The Dark Knight Returns,Jay Oliva,298,1
Batman: The Dark Knight Returns,Michael Emerson,299,1
Batman: The Dark Knight Returns,Mark Valley,300,1
Batman: The Dark Knight Returns,Grey Griffin,301,1
Oldboy,Chan-wook Park,302,1
Oldboy,Min-sik Choi,303,1
Oldboy,Ji-tae Yu,304,1
Oldboy,Hye-jeong Kang,305,1
To Kill a Mockingbird,Robert Mulligan,306,1
To Kill a Mockingbird,Robert Duvall,307,1
To Kill a Mockingbird,Brock Peters,308,1
To Kill a Mockingbird,William Windom,309,1
Reservoir Dogs,Quentin Tarantino,310,2
Reservoir Dogs,Steve Buscemi,312,1
Reservoir Dogs,Chris Penn,313,1
A Separation,Asghar Farhadi,314,1
A Separation,Shahab Hosseini,315,1
A Separation,Leila Hatami,316,1
A Separation,Peyman Moaadi,317,1
The Other Dream Team,Marius A. Markevicius,318,1
The Other Dream Team,Tommy Sheppard,319,1
The Other Dream Team,Greg Speirs,320,1
The Other Dream Team,Mickey Hart,321,1
A Charlie Brown Christmas,Bill Melendez,322,2
A Charlie Brown Christmas,Peter Robbins,323,1
A Charlie Brown Christmas,Christopher Shea,325,1
Toy Story 3,Lee Unkrich,326,1
Toy Story 3,Tom Hanks,327,1
Toy Story 3,John Ratzenberger,328,1
Toy Story 3,Don Rickles,329,1
Up,Pete Docter,330,1
Up,John Ratzenberger,331,1
Up,Delroy Lindo,332,1
Up,Jess Harnell,333,1
Inside Out,Pete Docter,334,1
Inside Out,Amy Poehler,335,1
Inside Out,Mindy Kaling,336,1
Inside Out,Phyllis Smith,337,1
Batman Begins,Christopher Nolan,338,1
Batman Begins,Christian Bale,339,1
Batman Begins,Liam Neeson,340,1
Batman Begins,Morgan Freeman,341,1
Inglourious Basterds,Quentin Tarantino,342,1
Inglourious Basterds,Michael Fassbender,343,1
Inglourious Basterds,Brad Pitt,344,1
Inglourious Basterds,Christoph Waltz,345,1
Indiana Jones and the Last Crusade,Steven Spielberg,346,1
Indiana Jones and the Last Crusade,Harrison Ford,347,1
Indiana Jones and the Last Crusade,Julian Glover,348,1
Indiana Jones and the Last Crusade,Alison Doody,349,1
L.A. Confidential,Curtis Hanson,350,1
L.A. Confidential,Kevin Spacey,351,1
L.A. Confidential,Matt McCoy,352,1
L.A. Confidential,Paul Guilfoyle,353,1
Toy Story,John Lasseter,354,1
Toy Story,Tom Hanks,355,1
Toy Story,John Ratzenberger,356,1
Toy Story,Jim Varney,357,1
Scarface,Brian De Palma,358,1
Scarface,Al Pacino,359,1
Scarface,F. Murray Abraham,360,1
Scarface,Mary Elizabeth Mastrantonio,361,1
Eternal Sunshine of the Spotless Mind,Michel Gondry,362,1
Eternal Sunshine of the Spotless Mind,Kate Winslet,363,1
Eternal Sunshine of the Spotless Mind,Kirsten Dunst,364,1
Eternal Sunshine of the Spotless Mind,Tom Wilkinson,365,1
Amadeus,Milos Forman,366,1
Amadeus,Jeffrey Jones,367,1
Amadeus,F. Murray Abraham,368,1
Amadeus,Tom Hulce,369,1
Raging Bull,Martin Scorsese,370,1
Raging Bull,Robert De Niro,371,1
Raging Bull,Cathy Moriarty,372,1
Raging Bull,Frank Vincent,373,1
Metropolis,Fritz Lang,374,1
Metropolis,Brigitte Helm,375,1
Metropolis,Gustav FrÌÎå_hlich,376,1
Metropolis,Rudolf Klein-Rogge,377,1
Unforgiven,Clint Eastwood,378,2
Unforgiven,Morgan Freeman,380,1
Unforgiven,Frances Fisher,381,1
Downfall,Oliver Hirschbiegel,382,1
Downfall,Thomas Kretschmann,383,1
Downfall,Bruno Ganz,384,1
Downfall,Alexandra Maria Lara,385,1
Room,Lenny Abrahamson,386,1
Room,Joan Allen,387,1
Room,Jacob Tremblay,388,1
Room,Cas Anvar,389,1
Snatch,Guy Ritchie,390,1
Snatch,Jason Statham,391,1
Snatch,Brad Pitt,392,1
Snatch,Jason Flemyng,393,1
2001: A Space Odyssey,Stanley Kubrick,394,1
2001: A Space Odyssey,Keir Dullea,395,1
2001: A Space Odyssey,Gary Lockwood,396,1
2001: A Space Odyssey,Glenn Beck,397,1
Good Will Hunting,Gus Van Sant,398,1
Good Will Hunting,Robin Williams,399,1
Good Will Hunting,Matt Damon,400,1
Good Will Hunting,Minnie Driver,401,1
