id,componentnumber,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,weighted degree,degree,modularity_class,pageranks,clustering,triangles,eigencentrality,
Frances Fisher,0,18,0.120383037,0.149467748,0,1,1,2,0.001227301,0,0,0.074920473,
Downfall,41,1,1,1,6,4,4,49,0.005756168,0,0,0.071381517,
Oliver Hirschbiegel,41,2,0.571428571,0.625,0,1,1,49,0.001587592,0,0,0.035444876,
Thomas Kretschmann,41,2,0.571428571,0.625,0,1,1,49,0.001587592,0,0,0.035444876,
Bruno Ganz,41,2,0.571428571,0.625,0,1,1,49,0.001587592,0,0,0.035444876,
Alexandra Maria Lara,41,2,0.571428571,0.625,0,1,1,49,0.001587592,0,0,0.035444876,
Room,42,1,1,1,6,4,4,50,0.005756168,0,0,0.071381517,
Lenny Abrahamson,42,2,0.571428571,0.625,0,1,1,50,0.001587592,0,0,0.035444876,
Joan Allen,42,2,0.571428571,0.625,0,1,1,50,0.001587592,0,0,0.035444876,
Jacob Tremblay,42,2,0.571428571,0.625,0,1,1,50,0.001587592,0,0,0.035444876,
Cas Anvar,42,2,0.571428571,0.625,0,1,1,50,0.001587592,0,0,0.035444876,
Snatch,0,21,0.109520846,0.15667466,522,4,4,5,0.004603664,0,0,0.178784422,
Guy Ritchie,0,22,0.098765432,0.128133317,0,1,1,5,0.00134206,0,0,0.062714307,
Jason Statham,0,22,0.098765432,0.128133317,0,1,1,5,0.00134206,0,0,0.062714307,
Jason Flemyng,0,22,0.098765432,0.128133317,0,1,1,5,0.00134206,0,0,0.062714307,
2001: A Space Odyssey,0,23,0.065209337,0.102982948,522,4,4,33,0.004942669,0,0,0.124496442,
Keir Dullea,0,24,0.061238692,0.085066666,0,1,1,33,0.001414358,0,0,0.050291425,
Gary Lockwood,0,24,0.061238692,0.085066666,0,1,1,33,0.001414358,0,0,0.050291425,
Glenn Beck,0,24,0.061238692,0.085066666,0,1,1,33,0.001414358,0,0,0.050291425,
Good Will Hunting,0,17,0.141821112,0.185338255,1834,4,4,1,0.004316643,0,0,0.17430428,
Gus Van Sant,0,18,0.124293785,0.150356033,0,1,1,1,0.001281148,0,0,0.061906144,
Robin Williams,0,18,0.124293785,0.150356033,0,1,1,1,0.001281148,0,0,0.061906144,
